Date,Open,High,Low,Close,Volume
2023-12-21,153.84,153.97,152.10,153.30,36305700
2023-12-22,153.42,154.35,152.71,153.77,29480100
2023-12-26,153.41,153.98,153.03,153.56,25067200
2023-12-27,153.34,154.78,153.12,153.56,31434700
2023-12-28,153.38,154.08,152.95,153.72,27057000
2023-12-29,151.94,153.89,151.03,153.10,39789000
2024-01-02,149.93,152.38,148.39,151.54,47339400
2024-01-03,148.47,151.05,148.33,149.20,49425500
2024-01-04,144.57,147.38,144.05,145.59,56039800
2024-01-05,145.24,146.59,144.53,144.69,45124800
2024-01-08,149.10,149.40,146.15,146.74,46757100
2024-01-09,151.37,151.71,148.21,148.33,43812600
2024-01-10,153.73,154.42,151.88,152.06,44421800
2024-01-11,155.18,157.17,153.12,155.04,49072700
2024-01-12,154.62,156.20,154.01,155.39,40460300
2024-01-16,153.16,154.99,152.15,153.53,41384600
2024-01-17,151.71,152.15,149.91,151.49,34953400
2024-01-18,153.50,153.78,151.82,152.77,37850200
2024-01-19,155.34,155.76,152.74,153.83,51033700
2024-01-22,154.78,157.05,153.90,156.89,43687500
2024-01-23,156.02,156.21,153.93,154.85,37986000
2024-01-24,156.87,158.51,156.48,157.80,48547300
2024-01-25,157.75,158.51,154.55,156.95,43638600
2024-01-26,159.12,160.72,157.91,158.42,51047400
2024-01-29,161.26,161.29,158.90,159.34,45270400
2024-01-30,159.00,161.73,158.49,160.70,45207400
2024-01-31,155.20,159.01,154.81,157.00,50284400
2024-02-01,159.28,159.76,155.62,155.87,76542400
2024-02-02,171.81,172.50,167.33,169.19,117154900
2024-02-05,170.31,170.55,167.70,170.20,55081300
2024-02-06,169.15,170.71,167.65,169.39,42505500
2024-02-07,170.53,170.88,168.94,169.48,47174100
2024-02-08,169.84,171.43,168.88,169.65,42316500
2024-02-09,174.45,175.00,170.58,170.90,56986000
2024-02-12,172.34,175.39,171.54,174.80,51050400
2024-02-13,168.64,170.95,165.75,167.73,56345100
2024-02-14,170.98,171.21,168.28,169.21,42815500
2024-02-15,169.80,171.17,167.59,170.58,49855200
2024-02-16,169.51,170.42,167.17,168.74,48074600
2024-02-20,167.08,168.71,165.74,167.83,41980300
2024-02-21,168.59,170.23,167.14,168.94,44575600
2024-02-22,174.58,174.80,171.77,173.10,55392400
2024-02-23,174.99,175.75,173.70,174.28,59715200
2024-02-26,174.73,176.37,174.26,175.70,44368600
2024-02-27,173.54,174.62,172.86,174.08,31141700
2024-02-28,173.16,174.05,172.27,172.44,28180500
2024-02-29,176.76,177.22,172.85,173.01,53805400
2024-03-01,178.22,178.73,176.07,176.75,31956200
2024-03-04,177.58,180.14,177.49,177.53,37381500
2024-03-05,174.12,176.93,173.30,176.93,37228300
2024-03-06,173.51,176.46,173.26,175.54,32090900
2024-03-07,176.82,177.99,173.72,174.83,34063300
2024-03-08,175.35,178.79,174.33,176.44,37853500
2024-03-11,171.96,174.47,171.47,174.31,28484800
2024-03-12,175.39,176.76,171.98,173.50,36610600
2024-03-13,176.56,177.62,175.55,175.90,30772600
2024-03-14,178.75,179.53,176.47,177.69,43705800
2024-03-15,174.42,177.93,173.90,176.64,72115500
2024-03-18,174.48,176.69,174.28,175.80,31250700
2024-03-19,175.90,176.09,173.52,174.22,26880900
2024-03-20,178.15,178.53,174.64,176.14,29947200
2024-03-21,178.15,181.42,178.15,179.99,32824300
2024-03-22,178.87,179.26,176.75,177.75,27964100
2024-03-25,179.71,180.99,177.24,178.01,29815500
2024-03-26,178.30,180.45,177.95,180.15,29659000
2024-03-27,179.83,180.00,177.31,179.88,33272600
2024-03-28,180.38,181.70,179.26,180.17,38051600
2024-04-01,180.97,183.00,179.95,180.79,29174500
2024-04-02,180.69,180.79,178.38,179.07,32611500
2024-04-03,182.41,182.87,179.80,179.90,31046600
2024-04-04,180.00,185.10,180.00,184.00,41624300
2024-04-05,185.07,186.27,181.97,182.38,42335200
2024-04-08,185.19,187.29,184.81,186.90,39221300
2024-04-09,185.67,187.34,184.20,187.24,36546900
2024-04-10,185.95,186.27,182.67,182.77,35879200
2024-04-11,189.05,189.77,185.51,186.74,40020700
2024-04-12,186.13,188.38,185.08,187.72,38554300
2024-04-15,183.62,188.69,183.00,187.43,48052400
2024-04-16,183.32,184.83,182.26,183.27,32891300
2024-04-17,181.28,184.57,179.82,184.31,31359700
2024-04-18,179.22,182.39,178.65,181.47,30723800
2024-04-19,174.63,179.00,173.44,178.74,55950000
2024-04-22,177.23,178.87,174.56,176.94,37924900
2024-04-23,179.54,179.93,175.98,178.08,37046500
2024-04-24,176.59,180.32,176.18,179.94,34185100
2024-04-25,173.67,173.92,166.32,169.68,49249400
2024-04-26,179.62,180.82,176.13,177.80,43919800
2024-04-29,180.96,183.53,179.39,182.75,54063900
2024-04-30,175.00,182.99,174.80,181.09,94639800
2024-05-01,179.00,185.15,176.56,181.64,94645100
2024-05-02,184.72,185.10,179.91,180.85,54303500
2024-05-03,186.21,187.87,185.42,186.99,39172000
2024-05-06,188.70,188.75,184.80,186.28,34725300
2024-05-07,188.76,189.94,187.31,188.92,34048900
2024-05-08,188.00,188.43,186.39,187.44,26136400
2024-05-09,189.50,191.70,187.44,188.88,43368400
2024-05-10,187.48,189.89,186.93,189.16,34141800
